Name,Description ,Latitude ,Longitude,InfoURL,ImageURL
UCSB,A great univeritsy located along the California coast,34.316929,-119.845991,"https://en.wikipedia.org/wiki/University_of_California,_Santa_Barbara",https://web.physics.ucsb.edu/~Women/images/ucsb-big.jpg
WuKang Mansion,A historical apartment located in WuKang road. It was previously a French concession district in Shanghai. ,31.204451,121.438355,https://en.wikipedia.org/wiki/Wukang_Mansion,https://www.shanghaieye.com.cn/wp-content/uploads/2019/01/u39992848993512977673fm173app49fJPEG.jpg
Kulangsu Island,A nice island located in Xiameng with delicious local foods and local architecture,24.44632,118.0662,https://en.wikipedia.org/wiki/Gulangyu,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcQFFtheoh16RFdzl3CuK3XRqvT5EdOObBg-H-TXZ6adExMnlUDI&usqp=CAU
Solvang village,A village located in Santa Babara county. It provides an exotic experience with lots of boutique shops and danish resturants ,34.593889,-120.139722,"https://en.wikipedia.org/wiki/Solvang,_California",https://losangeles.cbslocal.com/wp-content/uploads/sites/14984641/2011/01/solvang_shopping.jpg?w=300
Nara,"A city shows the interaction of human, nature and animals. People can feed deers and hiking in the Nara park",34.683333,135.8,"https://en.wikipedia.org/wiki/Nara,_Nara",https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Nara_motange.jpg/500px-Nara_motange.jpg
Chenghuang Miao,A typical historical temple located in Shanghai. It shows the combination of the modern buildings and historical temples. It evolves to a populated tourists' area.,31.227778,121.488056,https://en.wikipedia.org/wiki/City_God_Temple_of_Shanghai,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Chenghuangmiao2.jpg/1200px-Chenghuangmiao2.jpg
